"abbr","title"
"J Biogeogr","Journal of Biogeography"
"J Biol","Journal of Biology"
"J Biol Chem","Journal of Biological Chemistry"
"J Biol Dyn","Journal of Biological Dynamics"
"J Biol Educ","Journal of Biological Education"
"J Biol Eng","Journal of Biological Engineering"
"J Biol Inorg Chem","Journal of Biological Inorganic Chemistry"
"J Biol Phys","Journal of Biological Physics"
"J Biol Res Thessaloniki","Journal of Biological ResearchThessaloniki"
"J Biol Rhythms","Journal of Biological Rhythms"
"J Biolumin Chemilumin","Journal of Bioluminescence and Chemiluminescence"
"J Biomater Appl","Journal of Biomaterials Applications"
"J Biomater Sci Polym Ed","Journal of Biomaterials Science Polymer Edition"
"J Biomech","Journal of Biomechanics"
"J Biomech Eng","Journal of Biomechanical Engineering"
"J Biomed Biotechnol","Journal of Biomedicine and Biotechnology"
"J Biomed Discovery Collab","Journal of Biomedical Discovery and Collaboration"
"J Biomed Eng","Journal of Biomedical Engineering"
"J Biomed Inf","Journal of Biomedical Informatics"
"J Biomed Mater Res","Journal of Biomedical Materials Research"
"J Biomed Mater Res Part A","Journal of Biomedical Materials Research Part A"
"J Biomed Mater Res Part B","Journal of Biomedical Materials Research Part B Applied Biomaterials"
"J Biomed Nanotechnol","Journal of Biomedical Nanotechnology"
"J Biomed Opt","Journal of Biomedical Optics"
"J Biomed Sci","Journal of Biomedical Science"
"J Biomed Sci Eng","Journal of Biomedical Science and Engineering"
"J Biomimetics Biomater Tissue Eng","Journal of Biomimetics Biomaterials and Tissue Engineering"
"J Biomol NMR","Journal of Biomolecular NMR"
"J Biomol Screening","Journal of Biomolecular Screening"
"J Biomol Struct Dyn","Journal of Biomolecular Structure and Dynamics"
"J Bionanosci","Journal of Bionanoscience"
"J Bionic Eng","Journal of Bionic Engineering"
"J Biopharm Stat","Journal of Biopharmaceutical Statistics"
"J Biophotonics","Journal of Biophotonics"
"J Biorheol","Journal of Biorheology"
"J Biosaf Biosecur","Journal of Biosafety and Biosecurity"
"J Biosci","Journal of Biosciences"
"J Biosci Bioeng","Journal of Bioscience and Bioengineering"
"J Biosocial Sci","Journal of Biosocial Science"
"J Biotechnol","Journal of Biotechnology"
"J BioX Res","Journal of BioX Research"
"J Black SeaMediterr Environ","Journal of the Black SeaMediterranean Environment"
"J Board Greenkeep Res","Journal of the Board of Greenkeeping Research"
"J Bombay Nat Hist Soc","Journal of Bombay Natural History Society"
"J Bone Miner Metab","Journal of Bone and Mineral Metabolism"
"J Bone Miner Res","Journal of Bone and Mineral Research"
"J Br Inst Radio Eng","Journal of the British Institution of Radio Engineers"
"J Br Interplanet Soc","Journal of the British Interplanetary Society"
"J Braz Chem Soc","Journal of the Brazilian Chemical Society"
"J Braz Comput Sci","Journal of the Brazialian Computer Society"
"J Braz Comput Soc","Journal of the Brazilian Computer Society"
"J Braz Soc Mech Sci Eng","Journal of the Brazilian Society of Mechanical Sciences and Engineering"
"J Breast Imaging","Journal of Breast Imaging"
"J Breath Res","Journal of Breath Research"
"J Bridge Eng","Journal of Bridge Engineering"
"J Build Perform Simul","Journal of Building Performance Simulation"
"J Build Phys","Journal of Building Physics"
"J Buon","Journal of Buon"
"J Caffeine Adenosine Res","Journal of Caffeine and Adenosine Research"
"J Caffeine Res","Journal of Caffeine Research"
"J Camel Pract Res","Journal of Camel Practice and Research"
"J Can Dent Assoc","Journal of the Canadian Dental Association"
"J Can Pet Technol","Journal of Canadian Petroleum Technology"
"J Cancer Mol","Journal of Cancer Molecules"
"J Cancer Res Ther","Journal of Cancer Research and Therapeutics"
"J Carbohydr Chem","Journal of Carbohydrate Chemistry"
"J Cardiovasc Comput Tomogr","Journal of Cardiovascular Computed Tomography"
"J Cardiovasc Electrophysiol","Journal of Cardiovascular Electrophysiology"
"J Cardiovasc Pharmacol","Journal of Cardiovascular Pharmacology"
"J Catal","Journal of Catalysis"
"J Cell Biochem","Journal of Cellular Biochemistry"
"J Cell Biol","Journal of Cell Biology"
"J Cell Biotechnol","Journal of Cellular Biotechnology"
"J Cell Commun Signaling","Journal of Cell Communication and Signaling"
"J Cell Death","Journal of Cell Death"
"J Cell Mol Med","Journal of Cellular and Molecular Medicine"
"J Cell Physiol","Journal of Cell Physiology"
"J Cell Plast","Journal of Cellular Plastics"
"J Cell Sci","Journal of Cell Science"
"J Ceram Soc Jpn","Journal of the Ceramic Society of Japan"
"J Cereal Sci","Journal of Cereal Science"
"J Cereb Blood Flow Metab","Journal of Cerebral Blood Flow and Metabolism"
"J Chem","Journal of Chemistry"
"J Chem Crystallogr","Journal of Chemical Crystallography"
"J Chem Doc","Journal of Chemical Documentation"
"J Chem Ecol","Journal of Chemical Ecology"
"J Chem Educ","Journal of Chemical Education"
"J Chem Eng Data","Journal of Chemical and Engineering Data"
"J Chem Eng Jpn","Journal of Chemical Engineering of Japan"
"J Chem Health Saf","Journal of Chemical Heath and Safetyu"
"J Chem Inf Comput Sci","Journal of Chemical Information and Computer Science"
"J Chem Inf Model","Journal of Chemical Information and Modeling"
"J Chem Metrol","Journal of Chemical Metrology"
"J Chem Neuroanat","Journal of Chemical Neuroanatomy"
"J Chem Phys","Journal of Chemical Physics"
"J Chem Res Synop","Journal of Chemical Research Synopsis"
"J Chem Sci","Journal of Chemical Sciences"
"J Chem Soc","Journal of the Chemical Society"
"J Chem Soc A","Journal of the Chemical Society A Inorganic Physical Theoretical"
"J Chem Soc Abstr","Journal of the Chemical Society Abstracts"
"J Chem Soc B","Journal of the Chemical Society B Physical Organic"
"J Chem Soc C","Journal of the Chemical Society C Organic"
"J Chem Soc D","Journal of the Chemical Society D Chemical Communications"
"J Chem Soc Lond Chem Commun","Journal of the Chemical Society London Chemical Communications"
"J Chem Soc Lond Faraday Trans 1","Journal of the Chemical Society London Faraday Transactions 1"
"J Chem Soc Lond Faraday Trans 2","Journal of the Chemical Society London Faraday Transactions 2"
"J Chem Soc Pak","Journal of the Chemical Society of Pakistan"
"J chem Soc Trans","Journal of the Chemical Society Transactions"
"J Chem Soc Chem Commun","Journal of the Chemical Society Chemical Communications"
"J Chem Soc Dalton Trans","Journal of the Chemical Society Dalton Transactions"
"J Chem Soc Faraday Trans","Journal of the Chemical Society Faraday Transactions"
"J Chem Soc Faraday Trans 1 F","Journal of the Chemical Society Faraday Transactions 1 Physical Chemistry in Condensed Phases"
"J Chem Soc Faraday Trans 2","Journal of the Chemical Society Faraday Transactions 2 Molecular and Chemical Physics"
"J Chem Soc Perkin Trans 1","Journal of the Chemical Society Perkin Transactions 1"
"J Chem Soc Perkin Trans 2","Journal of the Chemical Society Perkin Transactions 2"
"J Chem Software","Journal of Chemical Software"
"J Chem Technol Biotechnol","Journal of Chemical Technology and Biotechnology"
"J Chem Theory Comput","Journal of Chemical Theory and Computation"
"J Chem Thermodyn","Journal of Chemical Thermodynamics"
"J Cheminf","Journal of Cheminformatics"
"J Chemom","Journal of Chemometrics"
"J Chil Chem Soc","Journal of the Chilean Chemical Society"
"J Child Adolesc Psychopharmacol","Journal of Child and Adolescent Psychopharmacology"
"J Chim Phys Phys Chim Biol","Journal de Chimie Physique et de PhysicoChimie Biologique"
"J Chim Phys PhysChim Biol","Journal de Chimie Physique et de Physicochimie Biologique"
"J Chin Chem Soc","Journal of the Chinese Chemical Society"
"J Chin Inst Chem Eng","Journal of the Chinese Institute of Chemical Engineers"
"J China Univ Geosci","Journal of the China University of Geosciences"
"J Chromatogr","Journal of Chromatography"
"J Chromatogr A","Journal of Chromatography A"
"J Chromatogr B","Journal of Chromatography B"
"J Chromatogr Sci","Journal of Chromatographic Science"
"J Chromatogr Sep Tech","Journal of Chromatography and Separation Techniques"
"J Circadian Rhythms","Journal of Circadian Rhythms"
"J Cleaner Prod","Journal of Cleaner Production"
"J Clim","Journal of Climate"
"J Clim Change","Journal of Climate Change"
"J Clin Bioinf","Journal of Clinical Bioinformatics"
"J Clin Chem Clin Biochem","Journal of Clinical Chemistry and Clinical Biochemistry"
"J Clin Endocrinol Metab","Journal of Clinical Endocrinology and Metabolism"
"J Clin Exp Dent","Journal of Clinical and Experimental Dentistry"
"J Clin Forensic Med","Journal of Clinical Forensic Medicine"
"J Clin Imaging Sci","Journal of Clinical Imaging Science"
"J Clin Lab Anal","Journal of Clinical Laboratory Analysis"
"J Clin Med Res","Journal of Clinical Medicine Research"
"J Clin Microbiol","Journal of Clinical Microbiology"
"J Clin Oncol Clin Cancer Inf","Journal of Clinical Oncology Clinical Cancer Informatics"
"J Clin Oncol Precis Oncol","Journal of Clinical Oncology Precision Oncology"
"J Clin Pathol","Journal of Clinical Pathology"
"J Clin Pharm Ther","Journal of Clinical Pharmacy and Therapeutics"
"J Clin Pharmacol","Journal of Clinical Pharmacology"
"J Clin Psychopharmacol","Journal of Clinical Psychopharmacology"
"J Clin Res Pediatr Endocrinol","Journal of Clinical Research in Pediatric Endocrinology"
"J Clin Transl Endocrinol","Journal of Clinical and Translational Endocrinology"
"J Clin Transl Endocrinol Case Rep","Journal of Clinical and Translational Endocrinology Case Reports"
"J Clin Transl Sci","Journal of Clinical and Translational Science"
"J Clin Ultrasound","Journal of Clinical Ultrasound"
"J Cluster Sci","Journal of Cluster Science"
"J CO2 Util","Journal of CO2 Utilization"
"J Coal Sci Eng","Journal of Coal Science and Engineering"
"J Coast Res","Jouranl of Coastal Research"
"J Coast Res Spec Issue","Journal of Coastal Research Special Issue"
"J Coat Technol","Journal of Coatings Technology"
"J Coat Technol Res","Journal of Coatings Technology and Research"
"J Cognit Enhancement","Journal of Cognitive Enhancement"
"J Cognit Neurosci","Journal of Cognitive Neuroscience"
"J Cold Reg Eng","Journal of Cold Regions Engineering"
"J Colloid Interface Sci","Journal of Colloid and Interface Science"
"J Comb Chem","Journal of Combinatorial Chemistry"
"J Comb Des","Journal of Combinatorial Designs"
"J Combust","Journal of Combustion"
"J Commod Sci Technol Qual","Journal of Commodity Science Technology and Quality"
"J Commun Networks","Journal of Communications and Networks"
"J Commun Technol Electron","Journal of Communications Technology and Electronics"
"J Comp Eff Res","Journal of Comparative Effectiveness Research"
"J Comp Neurol","Journal of Comparative Neurology"
"J Comp Pathol","Journal of Comparative Pathology"
"J Comp Physiol A","Journal of Comparative Physiology Part A Sensory Neural and Behavioral Physiology"
"J Comp Physiol B","Journal of Comparative Physiology Part B Biochemical Systematic and Environmental Physiology"
"J Complex Networks","Journal of Complex Networks"
"J Compos Constr","Journal of Composites for Construction"
"J Compos Mater","Journal of Composite Materials"
"J Compos Tech Res","Journal of Composites Technology and Research"
"J Comput Acoust","Journal of Computational Acoustics"
"J Comput Appl Math","Journal of Computational and Applied Mathematics"
"J Comput Assisted Tomogr","Journal of Computer Assisted Tomography"
"J Comput Biol","Journal of Computational Biology"
"J Comput Chem","Journal of Computational Chemistry"
"J Comput Chem Jpn","Journal of Computer Chemistry Japan"
"J Comput Civ Eng","Journal of Computing in Civil Engineering"
"J Comput Des Eng","Journal of Computational Design and Engineering"
"J Comput Electron","Journal of Computational Electronics"
"J Comput Inf Sci Eng","Journal of Computing and Information Science in Engineering"
"J Comput Methods Sci Eng","Journal of Computational Methods in Sciences and Engineering"
"J Comput Multiphase Flows","Journal of Computational Multiphase Flows"
"J Comput Networks Commun","Journal of Computer Networks and Communications"
"J Comput Nonlinear Dyn","Journal of Computational and Nonlinear Dynamics"
"J Comput Phys","Journal of Computational Physics"
"J Comput Phys X","Journal of Computational Physics X"
"J Comput Sci Eng","Journal of Computing Science and Engineering"
"J Comput Secur","Journal of Computer Security"
"J Comput Syst Sci Int","Journal of Computer and System Sciences International"
"J Comput Theor Nanosci","Journal of Computational and Theoretical Nanoscience"
"J ComputAided Mater Des","Journal of ComputerAided Materials Design"
"J ComputAided Mol Des","Journal of ComputerAided Molecular Design"
"J Cons","Journal du Conseil"
"J Constr Eng","Journal of Construction Engineering"
"J Constr Eng Manage","Journal of Construction Engineering and Management"
"J Constr Steel Res","Journal of Constructional Steel Research"
"J Contam Hydrol","Journal of Contaminant Hydrology"
"J Contemp Phys","Journal of Contemporary Physics"
"J Control Sci Eng","Journal of Control Science and Engineering"
"J Controlled Release","Journal of Controlled Release"
"J Coord Chem","Journal of Coordination Chemistry"
"J Corros Sci Eng","Journal of Corrosion Science and Engineering"
"J Cosmet Sci","Journal of Cosmetic Science"
"J Cosmol Astropart Phys","Journal of Cosmology and Astroparticle Physics"
"J Crash Prev Inj Control","Journal of Crash Prevention and Injury Control"
"J Crop Sci Biotechnol","Journal of Crop Science and Biotechnology"
"J Crustac Biol","Journal of Crustacean Biology"
"J Cryst Growth","Journal of Crystal Growth"
"J Cult Heritage","Journal of Cultural Heritage"
"J Dairy Res","Journal of Dairy Research"
"J Dairy Sci","Journal of Dairy Science"
"J Dalian Fish Coll","Journal of Dalian Fisheries College"
"J Dent Res","Journal of Dental Research"
"J Des Sci","Journal of Design and Science"
"J Dev Areas","Journal of Developing Areas"
"J Diabetes","Journal of Diabetes"
"J Diabetes Sci Technol","Journal of Diabetes Science and Technology"
"J Diagn Radiogr Imaging","Journal of Diagnostic Radiography and Imaging"
"J Discrete Algoritms","Journal of Discrete Algorithms"
"J Disp Technol","Journal of Display Technology"
"J Dispersion Sci Technol","Journal of Dispersion Science and Technology"
"J Drug Delivery","Journal of Drug Delivery"
"J Drug Delivery Sci Technol","Journal of Drug Delivery Science and Technology"
"J Drug Targeting","Journal of Drug Targeting"
"J Dyn Syst Meas Contr","Journal of Dynamic Systems Measurement and Control"
"J Earth Sci","Journal of Earth Science"
"J Earth Space Phys","Journal of the Earth and Space Physics"
"J Earth Syst Sci","Journal of Earth System Science"
"J Earthquake Eng","Journal of Earthquake Engineering"
"J East China Norm Univ Nat Sci Ed","Journal of East China Normal University Natural Science Edition"
"J Ecol","Journal of Ecology"
"J Econ Entomol","Journal of Economic Entomology"
"J Ecotoxicol Environ Monit","Journal of Ecotoxicology and Environmental Monitoring"
"J Egypt Math Soc","Journal of the Egyptian Mathematical Society"
"J Elast","Journal of Elasticity"
"J Elastomers Plast","Journal of Elastomers and Plastics"
"J Electr Comput Eng","Journal of Electrical and Computer Engineering"
"J Electr Eng Technol","Journal of Electrical Engineering and Technology"
"J Electr Syst Inf Technol","Journal of Electrical Systems and Information Technology"
"J Electroanal Chem","Journal of Electroanalytical Chemistry"
"J Electroanal Chem Interfacial Electrochem","Journal of Electroanalytical Chemistry and Interfacial Electrochemistry"
"J Electroceram","Journal of Electroceramics"
"J Electrochem Energy Convers Storage","Journal of Electrochemical Energy Conversion and Storage"
"J Electrochem Soc","Journal of the Electrochemical Society"
"J Electromagn Anal Appl","Journal of Electromagnetic Analysis and Applications"
"J Electron","Journal of Electronics China"
"J Electron Imaging","Journal of Electronic Imaging"
"J Electron Mater","Journal of Electronic Materials"
"J Electron Microsc","Journal of Electron Microscopy"
"J Electron Packag","Journal of Electronic Packaging"
"J Electron Sci Technol","Journal of Electronic Science and Technology"
"J Electron Spectrosc Relat Phenom","Journal of Electron Spectroscopy and Related Phenomena"
"J Electron Test","Journal of Electronic Testing"
"J Electrostat","Journal of Electrostatics"
"J Elementol","Journal of Elementology"
"J Elisha Mitchell Sci Soc","Journal of the Elisha Mitchell Scientific Society"
"J Endocr Soc","Journal of the Endocrine Society"
"J Endocrinol","Journal of Endocrinology"
"J Endotoxin Res","Journal of Endotoxin Research"
"J Energetic Mater","Journal of Energetic Materials"
"J Energy","Journal of Energy"
"J Energy Eng","Journal of Energy Engineering"
"J Energy Inst","Journal of the Energy Institute"
"J Energy Res Technol","Journal of Energy Resources Technology"
"J Energy Resour Technol","Journal of Energy Resources Technology"
"J Eng","Journal of Engineering"
"J Eng Des","Journal of Engineering Design"
"J Eng Educ","Journal of Engineering Education"
"J Eng Fibers Fabr","Journal of Engineered Fibers and Fabrics"
"J Eng Gas Turbines Power","Journal of Engineering for Gas Turbines and Power"
"J Eng Mater Technol","Journal of Engineering Materials and Technology"
"J Eng Math","Journal of Engineering Mathematics"
"J Eng Mech","Journal of Engineering Mechanics"
"J Eng Phys Thermophys","Journal of Engineering Physics and Thermophysics"
"J Eng Sci Med Diagn Ther","Journal of Engineering and Science in Medical Diagnostics and Therapy"
"J Eng Tech Manage","Journal of Engineering and Technology Management"
"J Eng Thermophys","Journal of Engineering Thermophysics"
"J Entomol Res","Journal of Entomological Research"
"J Entomol Soc BC","Journal of the Entomological Society of Birtish Columbia"
"J Environ Biol","Journal of Environmental Biology"
"J Environ Chem Eng","Journal of Environmental Chemical Engineering"
"J Environ Econ Manage","Journal of Environmental Economics and Management"
"J Environ Eng","Journal of Environmental Engineering"
"J Environ Eng Geophys","Journal of Environmental and Engineering Geophysics"
"J Environ Eng Sci","Journal of Environmental Engineering and Science"
"J Environ Health","Journal of Environmental Health"
"J Environ Hydrol","Journal of Environmental Hydrology"
"J Environ Manage","Journal of Environmental Management"
"J Environ Monit","Journal of Environmental Monitoring"
"J Environ Pathol Toxicol","Journal of Environmental Pathology and Toxicology"
"J Environ Pathol Toxicol Oncol","Journal of Environmental Pathology Toxicology and Oncology"
"J Environ Plann Manage","Journal of Environmental Planning and Management"
"J Environ Plann Policy Manage","Journal of Environmental Policy and Planning"
"J Environ Prot Ecol","Journal of Environmental Protection and Ecology"
"J Environ Qual","Journal of Environmental Quality"
"J Environ Radioact","Journal of Environmental Radioactivity"
"J Environ Sci","Journal of Environmental Sciences"
"J Environ Sci Health Part A Environ Sci Health Part A Environ Sci Eng","Journal of Environmental Science and Health Part A Environmental Science and Engineering"
"J Environ Sci Health Part A ToxicHazard Subst Environ Eng","Journal of Environmental Science and Health Part A ToxicHazardous Substances and Environmental Engineering"
"J Environ Sci Health A","Journal of Environmental Science and Health Part A Environmental Science and Engineering"
"J Environ Sci Health Part A","Journal of Environmental Science and Health Part A Environmental Science"
"J Environ Sci Health Part A Environ Sci EngToxic Hazard Subst Control","Journal of Environmental Science and Health Part A Environmental Science and Engineering and Toxic and Hazardous Substance Control"
"J Environ Sci Health Part B","Journal of Environmental Science and Health Part B Pesticides Food Contaminants and Agricultural Wastes"
"J Environ Sci Health Part C Environ Carcinog Ecotoxicol Rev","Journal of Environmental Science and Health Part C Environmental Carcinogenesis and Ecotoxicology Reviews"
"J Environ Sci Health Part C Environ Carcinog Rev","Journal of Environmental Science and Health Part C Environmental Carcinogenesis Reviews"
"J Environ Sci Health Part C Environ Health Sci","Journal of Environmental Science and Health Part C Environmental Health Sciences"
"J Environ Sci Technol","Journal of Environmental Science and Technology"
"J Environ Solutions Oil Gas Min","Journal of Environmental Solutions for Oil Gas and Mining"
"J Environ Syst","Journal of Environmental Systems"
"J Enzym Inhib","Journal of Enzyme Inhibition"
"J Enzyme Inhib Med Chem","Journal of Enzyme Inhibition and Medicinal Chemistry"
"J Essent Oil Bear Plants","Journal of Essential OilBearing Plants"
"J Essent Oil Res","Journal of Essential Oil Research"
"J Ethnobiol Ethnomed","Journal of Ethnobiology and Ethnomedicine"
"J Ethnopharmacol","Journal of Ethnopharmacology"
"J Ethol","Journal of Ethology"
"J Eukaryot Microbiol","Journal of Eukaryotic Microbiology"
"J Eukaryotic Microbiol","Journal of Eukaryotic Microbiology"
"J Eur Ceram Soc","Journal of the European Ceramic Society"
"J Eur Hydrol","Journal Europeen dHydrologie"
"J Eur Landscape","Journal of European Landscape"
"J Eur Opt Soc Part A","Journal of the European Optical Society Part A"
"J Eur Opt Soc Part B","Journal of the European Optical Society Part B"
"J Evidence Qual Health Care","Journal of Evidence and Quality in Health Care"
"J Evol Biochem Physiol","Journal of Evolutionary Biochemistry and Physiology"
"J Evol Biol","Journal of Evolutionary Biology"
"J Exp Anal Behav","Journal of Experimental Analysis of Behavior"
"J Exp Anim Sci","Journal of Experimental Animal Science"
"J Exp Biol","Journal of Experimental Biology"
"J Exp Bot","Journal of Experimental Botany"
"J Exp Clin Cancer Res","Journal of Experimental and Clinical Cancer Research"
"J Exp Mar Biol Ecol","Journal of Experimental Marine Biology and Ecology"
"J Exp Med","Journal of Experimental Medicine"
"J Exp Nanosci","Journal of Experimental Nanoscience"
"J Exp Neurosci","Journal of Experimental Neuroscience"
"J Exp Pathol","Journal of Experimental Pathology"
"J Exp Theor Artif Intell","Journal of Experimental and Theoretical Artificial Intelligence"
"J Exp Theor Phys","Journal of Experimental and Theoretical Physics"
"J Exp Zool","Journal of Experimental Zoology"
"J Exposure Anal Environ Epidemiol","Journal of Exposure Analysis and Environment Epidemiology"
"J Exposure Sci Environ Epidemiol","Journal of Exposure Science and Environmental Epidemiology"
"J Fac Mar Sci Technol Tokai Univ","Journal of the Faculty of Marine Science and Technology Tokai University"
"J Fac Sci Tokyo Univ 3","Journal of the Faculty of Science Tokyo University Section 3 Botany"
"J Facade Des Eng","Journal of Facade Design and Engineering"
"J Fail Anal Prev","Journal of Failure Analysis and Prevention"
"J Feline Med Surg","Journal of Feline Medicine and Surgery"
"J Ferment Bioeng","Journal of Fermentation and Bioengineering"
"J Ferment Technol","Journal of Fermentation Technology"
"J Fiber Bioeng Inf","Journal of Fiber Bioengineering and Informatics"
"J Field Ornith","Journal of Field Ornithology"
"J Field Ornithol","Journal of Field Ornithology"
"J Field Rob","Journal of Field Robotics"
"J Fire Prot Eng","Journal of Fire Protection Engineering"
"J Fire Sci","Journal of Fire Sciences"
"J Fish Aquat Sci","Journal of Fisheries and Aquatic Science"
"J Fish Biol","Journal of Fish Biology"
"J Fish China","Journal of Fisheries of China"
"J Fish Dis","Journal of Fish Diseases"
"J Fish Res Board Can","Journal of the Fisheries Research Board of Canada"
"J Fish Sci China","Journal of Fishery Sciences of China"
"J Flood Risk Manage","Journal of Flood Risk Management"
"J Flow Chem","Journal of Flow Chemistry"
"J Fluid Mech","Journal of Fluid Mechanics"
"J Fluids Eng","Journal of Fluids Engineering"
"J Fluids Struct","Journal of Fluids and Structures"
"J Fluorine Chem","Journal of Fluorine Chemistry"
"J Food Agric Environ","Journal of Food Agriculture and Environment"
"J Food Biochem","Journal of Food Biochemistry"
"J Food Compos Anal","Journal of Food Composition and Analysis"
"J Food Drug Anal","Journal of Food and Drug Analysis"
"J Food Eng","Journal of Food Engineering"
"J Food Hyg Soc Jpn","Journal of the Food Hygienic Society of Japan"
"J Food Lipids","Journal of Food Lipids"
"J Food Meas Charact","Journal of Food Measurement and Characterization"
"J Food Process Eng","Journal of Food Process Engineering"
"J Food Process Preserv","Journal of Food Processing and Preservation"
"J Food Prot","Journal of Food Protection"
"J Food Qual","Journal of Food Quality"
"J Food Saf","Journal of Food Safety"
"J Food Sci","Journal of Food Science"
"J Food Sci Educ","Journal of Food Science Education"
"J Food Sci Technol","Journal of Food Science and Technology"
"J Food Technol","Journal of Food Technology"
"J For Res","Journal of Forestry Research"
"J Foramineferal Res","Journal of Foramineferal Research"
"J Forensic Dent Sci","Journal of Forensic Dental Sciences"
"J Forensic Legal Med","Journal of Forensic and Legal Medicine"
"J Forensic Med","Journal of Forensic Medicine"
"J Forensic Med Toxicol","Journal of Forensic Medicine and Toxicology"
"J Forensic Radiol Imaging","Journal of Forensic Radiology and Imaging"
"J Forensic Sci","Journal of Forensic Science"
"J Forensic Sci Soc","Journal of the Forensic Science Society"
"J Franklin Inst","Journal of the Franklin Institute"
"J Freshw Ecol","Journal of Freshwater Ecology"
"J Freshwater Ecol","Journal of Freshwater Ecology"
"J Frict Wear","Journal of Friction and Wear"
"J Fuel Cell Sci Technol","Journal of Fuel Cell Science and Technology"
"J Fujian Teach Univ Nat Sci Ed","Journal of Fujian Teachers University Natural Science Edition"
"J Funct Foods","Journal of Functional Foods"
"J Funct Program","Journal of Functional Programming"
"J Funct Spaces","Journal of Function Spaces"
"J Fusion Energy","Journal of Fusion Energy"
"J Gasbeleucht Verw Beleuchtungsarten Wasserversorg","Journal für Gasbeleuchtung und Verwandte Beleuchtungsarten sowie für Wasserversorgung"
"J Gemmol","Journal of Gemmology"
"J Gen Appl Microbiol","Journal of General and Applied Microbiology"
"J Gen Microbiol","Journal of General Microbiology"
"J Gen Physiol","Journal of General Physiology"
"J Gen Virol","Journal of General Virology"
"J Genet","Journal of Genetics"
"J Genet Couns","Journal of Genetic Counseling"
"J Genet Eng Biotechnol","Journal of Genetic Engineering and Biotechnology"
"J Genet Genomics","Journal of Genetics and Genomics"
"J Geochem Explor","Journal of Geochemical Exploration"
"J Geod","Journal of Geodesy"
"J Geodyn","Journal of Geodynamics"
"J GeoEng Sci","Journal of GeoEngineering Sciences"
"J Geog Sci","Journal of Geographical Sciences"
"J Geogr Environ Earth Sci Int","Journal of Geography Environment and Earth Science International"
"J Geohys Res B","Journal of Geophysical Research B"
"J Geohys Res C","Journal of Geophysical Research C Oceans"
"J Geohys Res D","Journal of Geophysical Research D Atmospheres"
"J Geol","Journal of Geology"
"J Geol Educ","Journal of Geological Education"
"J Geol Res","Journal of Geological Research"
"J Geol Soc London UK","Journal of the Geological Society London United Kingdom"
"J Geol Soc Aust","Journal of the Geological Society of Australia"
"J Geol Soc China","Journal of the Geological Society of China"
"J Geol Soc India","Journal of the Geological Society of India"
"J Geol Soc Jam","Journal of the Geological Society of Jamaica"
"J Geol Soc Jpn","Journal of the Geological Society of Japan"
"J Geol Soc London","Journal of the Geological Society of London"
"J Geom Phys","Journal of Geometry and Physics"
"J Geomagn Geoelec","Journal of Geomagnetism and Geoelectricity"
"J Geomagn Geoelectr","Journal of Geomagnetism and Geoelectricity"
"J Geophys","Journal of Geophysics"
"J Geophys Eng","Journal of Geophysics and Engineering"
"J Geophys Res","Journal of Geophysical Research"
"J Geophys Res A Space Phys","Journal of Geophysical Research A Space Physics"
"J Geophys Res Atmos","Journal of Geophysical Research Atmospheres"
"J Geophys Res B Solid Earth","Journal of Geophysical Research B Solid Earth"
"J Geophys Res Biogeosci","Journal of Geophysical Research Biogeosciences"
"J Geophys Res C Oceans","Journal of Geophysical Research C Oceans"
"J Geophys Res D Atmos","Journal of Geophysical Research D Atmospheres"
"J Geophys Res E Planets","Journal of Geophysical Research E Planets"
"J Geophys Res Earth Surf","Journal of Geophysical Research Earth Surface"
"J Geophys Res F Earth Surf","Journal of Geophysical Research F Earth Surface"
"J Geophys Res G Biogeosci","Journal of Geophysical Research G Biogeosciences"
"J Geophys Res Oceans","Journal of Geophysical Research Oceans"
"J Geophys Res Planets","Journal of Geophysical Research Planets"
"J Geophys Res Solid Earth","Journal of Geophysical Research Solid Earth"
"J Geophys Res Space Phys","Journal of Geophysical Research Space Physics"
"J Geosci","Journal of Geosciences"
"J Geosci Educ","Journal of Geoscience Education"
"J Geotech Eng","Journal of Geotechnical Engineering"
"J Geotech Geoenviron Eng","Journal of Geotechnical and Geoenvironmental Engineering"
"J Ghana Sci Assoc","Journal of the Ghana Science Association"
"J Ginseng Res","Journal of Ginseng Research"
"J Glaciol","Journal of Glaciology"
"J Global Oncol","Journal of Global Oncology"
"J Global Optim","Journal of Global Optimization"
"J Great Lakes Res","Journal of Great Lakes Research"
"J Gt Lakes Res","Journal of Great Lakes Research"
"J Hard Tissue Biol","Journal of Hard Tissue Biology"
"J Hazard Mater","Journal of Hazardous materials"
"J Health Popul Nutr","Journal of Health Population and Nutrition"
"J Healthcare Eng","Journal of Healthcare Engineering"
"J Heat Transfer","Journal of Heat Transfer"
"J Heat Treat","Journal of Heat Treating"
"J Hehai Univ","Journal of Hehai University"
"J Helminthol","Journal of Helminthology"
"J Herbs Spices Med Plants","Journal of Herbs Spices and Medicinal Plants"
"J Hered","Journal of Heredity"
"J Herpetol","Journal of Herpetology"
"J Heterocycl Chem","Journal of Heterocyclic Chemistry"
"J High Energy Astrophys","Journal of High Energy Astrophysics"
"J High Energy Phys","Journal of High Energy Physics"
"J High Resolut Chromatogr","Journal of High Resolution Chromatography"
"J High Speed Networks","Journal of High Speed Networks"
"J Hist Astron","Journal for the History of Astronomy"
